,value,geometry,lon,lat
0,35.0,POINT (659212.047762564 5601525.21911721),659212.048,5601525.219
1,37.0,POINT (659403.3807599586 5601433.781932044),659403.381,5601433.782
2,32.0,POINT (659983.2195152061 5601355.48316497),659983.22,5601355.483
3,9.0,POINT (657502.3390898606 5601297.44114016),657502.339,5601297.441
4,38.0,POINT (645413.8458395356 5601134.660417191),645413.846,5601134.66
5,38.0,POINT (658398.3008663369 5601113.37351233),658398.301,5601113.374
6,30.0,POINT (643416.1257551047 5600998.272413583),643416.126,5600998.272
7,38.0,POINT (644296.1211083223 5601024.535317032),644296.121,5601024.535
8,35.0,POINT (657615.6539398585 5601364.467867474),657615.654,5601364.468
9,35.0,POINT (657745.5652447169 5601290.730533149),657745.565,5601290.731
10,20.0,POINT (659530.5861243352 5601006.578126657),659530.586,5601006.578
11,39.0,POINT (637541.4066938346 5600937.867796822),637541.407,5600937.868
12,38.0,POINT (654345.9735254593 5600910.405068316),654345.974,5600910.405
13,37.0,POINT (657519.5760599618 5600864.057136963),657519.576,5600864.057
14,38.0,POINT (659324.5717841003 5600794.554541848),659324.572,5600794.555
15,38.0,POINT (659560.5251380733 5600820.289112303),659560.525,5600820.289
16,33.0,POINT (660975.1762134249 5600813.481105054),660975.176,5600813.481
17,38.0,POINT (659107.6632786224 5601209.702043996),659107.663,5601209.702
18,40.0,POINT (648276.2014215803 5600765.611547496),648276.201,5600765.612
19,40.0,POINT (639739.1088953778 5600650.95149484),639739.109,5600650.951
20,38.0,POINT (650637.9624902067 5600670.324149603),650637.962,5600670.324
21,35.0,POINT (657303.4650717324 5600667.654513523),657303.465,5600667.655
22,40.0,POINT (646859.1451003507 5600635.044631177),646859.145,5600635.045
23,38.0,POINT (647230.0404186865 5600599.377663684),647230.04,5600599.378
24,38.0,POINT (645287.4955284478 5600493.562829563),645287.496,5600493.563
25,40.0,POINT (654629.7488221526 5600443.279491529),654629.749,5600443.279
26,38.0,POINT (645370.0998155606 5600419.040809545),645370.1,5600419.041
27,38.0,POINT (646874.6256185611 5600475.806295732),646874.626,5600475.806
28,38.0,POINT (661428.8640805663 5600384.254624358),661428.864,5600384.255
29,35.0,POINT (654392.6350289389 5600249.37189388),654392.635,5600249.372
30,38.0,POINT (655248.8790659634 5600217.897881662),655248.879,5600217.898
31,38.0,POINT (656839.856678492 5599988.411003802),656839.857,5599988.411
32,33.0,POINT (654592.961235062 5599944.419184159),654592.961,5599944.419
33,26.0,POINT (637666.3945960774 5599825.492149647),637666.395,5599825.492
34,35.0,POINT (637606.5492241398 5599800.486263039),637606.549,5599800.486
35,38.0,POINT (646177.3803671862 5599802.552089985),646177.38,5599802.552
36,38.0,POINT (644268.4602020722 5599939.013780378),644268.46,5599939.014
37,38.0,POINT (646789.8487504059 5599779.761881338),646789.849,5599779.762
38,37.0,POINT (661165.9433108742 5599793.077989381),661165.943,5599793.078
39,38.0,POINT (659415.2809857912 5599719.029196445),659415.281,5599719.029
40,38.0,POINT (643175.2691379187 5599746.991255951),643175.269,5599746.991
41,37.0,POINT (651653.3834257247 5599545.009292581),651653.383,5599545.009
42,38.0,POINT (661485.3100874375 5599848.309538323),661485.31,5599848.31
43,39.0,POINT (651120.736230521 5599534.472731181),651120.736,5599534.473
44,38.0,POINT (643079.3443570492 5599494.953720181),643079.344,5599494.954
45,27.0,POINT (651682.8526417942 5599514.767549753),651682.853,5599514.768
46,39.0,POINT (637559.6051149674 5599464.637986662),637559.605,5599464.638
47,40.0,POINT (645388.4346257503 5599548.403629855),645388.435,5599548.404
48,40.0,POINT (638144.0545608696 5599521.301197575),638144.055,5599521.301
49,40.0,POINT (637515.590042312 5599424.8408846),637515.59,5599424.841
50,35.0,POINT (653561.2068701494 5599414.183352786),653561.207,5599414.183
51,38.0,POINT (656562.6240450735 5599440.299815052),656562.624,5599440.3
52,38.0,POINT (640952.4678084259 5599574.714493954),640952.468,5599574.714
53,38.0,POINT (659030.5686858671 5599199.534303876),659030.569,5599199.534
54,38.0,POINT (640632.0375597961 5599156.381857631),640632.038,5599156.382
55,38.0,POINT (646288.7820996674 5599043.80849693),646288.782,5599043.808
56,38.0,POINT (644009.8164839399 5599158.615620115),644009.816,5599158.616
57,38.0,POINT (640329.3357352098 5599104.552936156),640329.336,5599104.553
58,40.0,POINT (651582.9683530841 5599117.839223158),651582.968,5599117.839
59,39.0,POINT (641171.922562329 5599065.226628943),641171.923,5599065.227
60,35.0,POINT (644210.388632584 5599052.34693692),644210.389,5599052.347
61,39.0,POINT (639608.6179202063 5599028.840737728),639608.618,5599028.841
62,33.0,POINT (659582.3090811718 5598983.572158539),659582.309,5598983.572
63,35.0,POINT (659109.4910738246 5598991.522700843),659109.491,5598991.523
64,38.0,POINT (660763.0620798121 5599008.398800489),660763.062,5599008.399
65,39.0,POINT (639207.6785327411 5598930.831510566),639207.679,5598930.832
66,36.0,POINT (641088.1857094226 5598869.434146349),641088.186,5598869.434
67,31.0,POINT (653944.9496967485 5599302.892447217),653944.95,5599302.892
68,38.0,POINT (656949.9342359662 5598830.602355137),656949.934,5598830.602
69,38.0,POINT (646239.6821915074 5598865.872044158),646239.682,5598865.872
70,40.0,POINT (649336.0402433785 5598772.193705804),649336.04,5598772.194
71,38.0,POINT (655871.6992611999 5598782.924980846),655871.699,5598782.925
72,38.0,POINT (649254.1067741275 5598784.484733138),649254.107,5598784.485
73,37.0,POINT (655891.7071996181 5598672.686759858),655891.707,5598672.687
74,40.0,POINT (659017.0773534321 5598710.288434453),659017.077,5598710.288
75,37.0,POINT (642580.7593194441 5598650.988095842),642580.759,5598650.988
76,38.0,POINT (641865.0807215478 5598662.834237965),641865.081,5598662.834
77,40.0,POINT (642818.6718719872 5598592.427512143),642818.672,5598592.428
78,38.0,POINT (640413.5381819449 5598521.431454325),640413.538,5598521.431
79,39.0,POINT (645096.813835295 5598579.275358612),645096.814,5598579.275
80,38.0,POINT (643869.0452627176 5598723.08054518),643869.045,5598723.081
81,25.0,POINT (660250.9522958172 5598546.149690941),660250.952,5598546.15
82,31.0,POINT (643905.2359596721 5598512.436155302),643905.236,5598512.436
83,38.0,POINT (643683.5742056189 5598470.789161572),643683.574,5598470.789
84,38.0,POINT (657723.1095360817 5598459.333887293),657723.11,5598459.334
85,38.0,POINT (660477.5495713421 5598606.412196979),660477.55,5598606.412
86,38.0,POINT (642488.1313540132 5598523.932250662),642488.131,5598523.932
87,39.0,POINT (651018.5667527665 5598423.664451893),651018.567,5598423.664
88,33.0,POINT (643660.953947378 5598385.780791926),643660.954,5598385.781
89,40.0,POINT (644577.254377458 5598348.880892685),644577.254,5598348.881
90,38.0,POINT (641069.7386694455 5598264.238424683),641069.739,5598264.238
91,35.0,POINT (652538.2589832438 5598177.832640656),652538.259,5598177.833
92,37.0,POINT (659888.9617612433 5598184.993620229),659888.962,5598184.994
93,27.0,POINT (659162.4228967255 5597985.163672215),659162.423,5597985.164
94,17.0,POINT (659424.7523696935 5598011.174913223),659424.752,5598011.175
95,39.0,POINT (640171.4055575009 5597933.005088121),640171.406,5597933.005
96,37.0,POINT (660805.6282402613 5597966.786734686),660805.628,5597966.787
97,35.0,POINT (639281.517639863 5597898.455675844),639281.518,5597898.456
98,38.0,POINT (642733.397310926 5597903.991731392),642733.397,5597903.992
99,38.0,POINT (656228.7640238071 5597934.228861379),656228.764,5597934.229
100,40.0,POINT (654882.3991627365 5597824.67787358),654882.399,5597824.678
101,37.0,POINT (659144.8010121541 5597795.838406689),659144.801,5597795.838
102,38.0,POINT (641698.8876142118 5597715.06701268),641698.888,5597715.067
103,38.0,POINT (660145.6200578505 5597640.962793644),660145.62,5597640.963
